group,early_epoch,nr_FAD,FAD_prop,nr_LAD,LAD_prop
Invertebrates,Maolingian,2,0.27816411682892905,2,0.28368794326241137
Invertebrates,Lower Ordovician,1,0.13908205841446453,1,0.14184397163120568
Invertebrates,Middle Ordovician,2,0.27816411682892905,2,0.28368794326241137
Invertebrates,Upper Ordovician,4,0.5563282336578581,4,0.5673758865248227
Invertebrates,Wenlock,4,0.5563282336578581,4,0.5673758865248227
Invertebrates,Ludlow,2,0.27816411682892905,2,0.28368794326241137
Invertebrates,Pridoli,4,0.5563282336578581,4,0.5673758865248227
Invertebrates,Lower Devonian,8,1.1126564673157162,7,0.9929078014184398
Invertebrates,Middle Devonian,1,0.13908205841446453,3,0.425531914893617
Invertebrates,Upper Devonian,1,0.13908205841446453,1,0.14184397163120568
Invertebrates,Mississippian,4,0.5563282336578581,4,0.5673758865248227
Invertebrates,Pennsylvanian,1,0.13908205841446453,1,0.14184397163120568
Invertebrates,Lower Jurassic,1,0.13908205841446453,1,0.14184397163120568
Invertebrates,Middle Jurassic,1,0.13908205841446453,1,0.14184397163120568
Invertebrates,Upper Jurassic,2,0.27816411682892905,2,0.28368794326241137
Invertebrates,Upper Cretaceous,6,0.8344923504867872,6,0.851063829787234
Invertebrates,Eocene,1,0.13908205841446453,1,0.14184397163120568
Bony fishes,Ludlow,1,0.13908205841446453,1,0.14184397163120568
Bony fishes,Lower Devonian,4,0.5563282336578581,3,0.425531914893617
Bony fishes,Middle Devonian,5,0.6954102920723227,2,0.28368794326241137
Bony fishes,Upper Devonian,10,1.3908205841446455,13,1.8439716312056738
Bony fishes,Mississippian,1,0.13908205841446453,1,0.14184397163120568
Bony fishes,Cisuralian,1,0.13908205841446453,1,0.14184397163120568
Bony fishes,Lopingian,2,0.27816411682892905,2,0.28368794326241137
Bony fishes,Lower Triassic,9,1.2517385257301807,7,0.9929078014184398
Bony fishes,Middle Triassic,4,0.5563282336578581,4,0.5673758865248227
Bony fishes,Upper Triassic,3,0.4172461752433936,4,0.5673758865248227
Bony fishes,Lower Jurassic,7,0.9735744089012517,8,1.1347517730496455
Bony fishes,Middle Jurassic,2,0.27816411682892905,1,0.14184397163120568
Bony fishes,Upper Jurassic,10,1.3908205841446455,10,1.4184397163120568
Bony fishes,Lower Cretaceous,11,1.52990264255911,8,1.1347517730496455
Bony fishes,Upper Cretaceous,30,4.172461752433936,32,4.539007092198582
Bony fishes,Paleocene,6,0.8344923504867872,4,0.5673758865248227
Bony fishes,Eocene,1,0.13908205841446453,3,0.425531914893617
Bony fishes,Oligocene,7,0.9735744089012517,8,1.1347517730496455
Bony fishes,Miocene,9,1.2517385257301807,9,1.276595744680851
Jawless fishes,Lower Devonian,1,0.13908205841446453,1,0.14184397163120568
Jawless fishes,Middle Devonian,3,0.4172461752433936,1,0.14184397163120568
Jawless fishes,Upper Devonian,1,0.13908205841446453,3,0.425531914893617
Placoderms,Lower Devonian,9,1.2517385257301807,8,1.1347517730496455
Placoderms,Middle Devonian,22,3.05980528511822,18,2.553191489361702
Placoderms,Upper Devonian,17,2.364394993045897,22,3.120567375886525
Chondrichthyans,Lower Devonian,3,0.4172461752433936,2,0.28368794326241137
Chondrichthyans,Middle Devonian,3,0.4172461752433936,3,0.425531914893617
Chondrichthyans,Upper Devonian,5,0.6954102920723227,3,0.425531914893617
Chondrichthyans,Mississippian,11,1.52990264255911,9,1.276595744680851
Chondrichthyans,Pennsylvanian,1,0.13908205841446453,6,0.851063829787234
Chondrichthyans,Cisuralian,2,0.27816411682892905,1,0.14184397163120568
Chondrichthyans,Lower Jurassic,3,0.4172461752433936,2,0.28368794326241137
Chondrichthyans,Upper Jurassic,3,0.4172461752433936,4,0.5673758865248227
Chondrichthyans,Lower Cretaceous,8,1.1126564673157162,3,0.425531914893617
Chondrichthyans,Upper Cretaceous,16,2.2253129346314324,24,3.404255319148936
Chondrichthyans,Eocene,8,1.1126564673157162,8,1.1347517730496455
Chondrichthyans,Oligocene,6,0.8344923504867872,3,0.425531914893617
Chondrichthyans,Miocene,10,1.3908205841446455,9,1.276595744680851
Non-avian reptiles,Lower Triassic,6,0.8344923504867872,6,0.851063829787234
Non-avian reptiles,Middle Triassic,44,6.11961057023644,38,5.390070921985815
Non-avian reptiles,Upper Triassic,15,2.086230876216968,20,2.8368794326241136
Non-avian reptiles,Lower Jurassic,38,5.285118219749652,39,5.531914893617021
Non-avian reptiles,Middle Jurassic,17,2.364394993045897,10,1.4184397163120568
Non-avian reptiles,Upper Jurassic,18,2.5034770514603615,24,3.404255319148936
Non-avian reptiles,Lower Cretaceous,20,2.781641168289291,21,2.9787234042553195
Non-avian reptiles,Upper Cretaceous,93,12.934631432545201,92,13.049645390070921
Non-avian reptiles,Paleocene,9,1.2517385257301807,10,1.4184397163120568
Non-avian reptiles,Eocene,6,0.8344923504867872,6,0.851063829787234
Non-avian reptiles,Miocene,1,0.13908205841446453,1,0.14184397163120568
Birds,Paleocene,3,0.4172461752433936,3,0.425531914893617
Birds,Eocene,11,1.52990264255911,9,1.276595744680851
Birds,Oligocene,2,0.27816411682892905,3,0.425531914893617
Birds,Miocene,1,0.13908205841446453,2,0.28368794326241137
Mammals,Eocene,9,1.2517385257301807,8,1.1347517730496455
Mammals,Oligocene,18,2.5034770514603615,11,1.5602836879432624
Mammals,Miocene,73,10.15299026425591,55,7.801418439716312
Mammals,Pliocene,22,3.05980528511822,39,5.531914893617021
Mammals,Pleistocene,3,0.4172461752433936,11,1.5602836879432624
